time,mean_current,resolved_phase,epsilon_eff,slips,baseline_magnitude,gated_magnitude,baseline_entropy,gated_entropy,gated_alpha,gated_mu
10.1000,0.939432,3.075255,0.180000,0,1.565083,1.528128,0.906677,0.906809,1.048140,0.554285
10.1500,0.939412,3.089803,0.180000,0,1.565513,1.529532,0.906483,0.906612,1.048258,0.554161
10.2000,0.939391,3.104280,0.180000,0,1.565949,1.530921,0.906295,0.906420,1.048372,0.554040
10.2500,0.939366,3.118686,0.180000,0,1.566389,1.532297,0.906113,0.906234,1.048483,0.553923
10.3000,0.939339,3.133022,0.180000,0,1.566836,1.533659,0.905935,0.906053,1.048591,0.553810
10.3500,0.939310,-3.135896,0.180000,0,1.567289,1.535009,0.905763,0.905877,1.048695,0.553699
10.4000,0.939278,-3.121697,0.180000,0,1.567749,1.536348,0.905596,0.905707,1.048797,0.553592
10.4500,0.939245,-3.107563,0.180000,0,1.568217,1.537676,0.905434,0.905541,1.048895,0.553488
10.5000,0.939209,-3.093495,0.180000,0,1.568694,1.538993,0.905276,0.905381,1.048990,0.553386
10.5500,0.939173,-3.079490,0.180000,0,1.569178,1.540301,0.905123,0.905225,1.049083,0.553288
10.6000,0.939135,-3.065547,0.180000,0,1.569672,1.541599,0.904975,0.905073,1.049172,0.553193
10.6500,0.939096,-3.051665,0.180000,0,1.570174,1.542889,0.904830,0.904926,1.049260,0.553100
10.7000,0.939056,-3.037841,0.180000,0,1.570686,1.544170,0.904690,0.904783,1.049344,0.553010
10.7500,0.939016,-3.024073,0.180000,0,1.571207,1.545443,0.904554,0.904645,1.049426,0.552923
10.8000,0.938976,-3.010360,0.180000,0,1.571738,1.546708,0.904422,0.904510,1.049506,0.552838
10.8500,0.938935,-2.996700,0.180000,0,1.572278,1.547966,0.904294,0.904379,1.049583,0.552756
10.9000,0.938895,-2.983090,0.180000,0,1.572828,1.549216,0.904169,0.904252,1.049658,0.552676
10.9500,0.938855,-2.969528,0.180000,0,1.573387,1.550459,0.904049,0.904129,1.049730,0.552598
11.0000,0.938816,-2.956012,0.180000,0,1.573955,1.551695,0.903931,0.904009,1.049801,0.552523
